TAZID,commercial,resident,industrial,public,transport,other
0,0.166666,0.159943,0.16261,0.155391,0.183145,0.172244
1,0.160554,0.156126,0.165868,0.15555,0.189386,0.172515
2,0.158377,0.154205,0.166659,0.154963,0.193204,0.172592
3,0.16111,0.156471,0.165679,0.15597,0.188221,0.172549
4,0.16215,0.157054,0.165191,0.156365,0.186728,0.172512
5,0.161078,0.156499,0.165699,0.155715,0.18836,0.172647
6,0.161976,0.157038,0.16521,0.156143,0.186939,0.172695
7,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
8,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
9,0.160756,0.156245,0.165725,0.155845,0.18882,0.172609
10,0.166737,0.159897,0.162604,0.155516,0.183026,0.17222
11,0.16337,0.157995,0.164684,0.156163,0.185274,0.172513
12,0.163108,0.157928,0.164799,0.156056,0.185474,0.172636
13,0.161627,0.156748,0.165516,0.156032,0.187479,0.172598
14,0.158611,0.154565,0.166707,0.155089,0.192361,0.172667
15,0.166947,0.159679,0.16248,0.155572,0.182346,0.172977
16,0.161768,0.1572,0.165465,0.156119,0.187018,0.17243
17,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
18,0.16061,0.156214,0.165665,0.15575,0.18904,0.17272
19,0.161464,0.156843,0.165559,0.155818,0.187665,0.172651
20,0.159099,0.1551,0.165965,0.156252,0.190416,0.173168
21,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
22,0.161199,0.156686,0.165676,0.155774,0.187991,0.172675
23,0.158721,0.154558,0.166601,0.154849,0.192413,0.172858
24,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
25,0.160268,0.15598,0.166177,0.155415,0.189683,0.172477
26,0.164864,0.158754,0.164215,0.155431,0.18433,0.172407
27,0.158821,0.153796,0.166938,0.154544,0.192933,0.172968
28,0.163247,0.158113,0.164941,0.156035,0.185483,0.172181
29,0.169699,0.162319,0.159593,0.155261,0.181144,0.171984
30,0.166701,0.159988,0.162589,0.155455,0.183174,0.172094
31,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
32,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
33,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
34,0.166674,0.159917,0.162555,0.1554,0.183028,0.172425
35,0.162002,0.15699,0.165196,0.156287,0.186893,0.172632
36,0.161988,0.157067,0.165412,0.156021,0.186877,0.172636
37,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
38,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
39,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
40,0.166618,0.160018,0.162626,0.155341,0.18313,0.172265
41,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
42,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
43,0.163206,0.158041,0.164816,0.156112,0.185206,0.172619
44,0.163261,0.157967,0.164715,0.156303,0.185134,0.172619
45,0.160458,0.156071,0.166077,0.155461,0.189429,0.172504
46,0.16667,0.16004,0.162442,0.155657,0.182915,0.172277
47,0.163217,0.15799,0.164725,0.155967,0.185607,0.172494
48,0.161335,0.156713,0.16552,0.155995,0.187829,0.172608
49,0.166804,0.159969,0.162499,0.155377,0.182929,0.172421
50,0.166589,0.160135,0.162467,0.155484,0.183343,0.171982
51,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
52,0.169704,0.162237,0.159772,0.155382,0.180981,0.171924
53,0.163287,0.157944,0.164885,0.156038,0.185143,0.172703
54,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
55,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
56,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
57,0.163296,0.158063,0.164777,0.156002,0.185446,0.172414
58,0.163388,0.157993,0.164776,0.156001,0.184933,0.172908
59,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
60,0.165073,0.158662,0.163988,0.155768,0.183731,0.172778
61,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
62,0.158701,0.154103,0.166718,0.155051,0.192698,0.172728
63,0.158478,0.154534,0.166641,0.154489,0.193206,0.172651
64,0.161761,0.157209,0.165417,0.155919,0.187258,0.172435
65,0.15881,0.154591,0.166194,0.155065,0.192321,0.173019
66,0.169446,0.162404,0.159776,0.155218,0.181334,0.171822
67,0.160126,0.156039,0.165906,0.155541,0.18976,0.172629
68,0.166349,0.160327,0.16269,0.155236,0.183992,0.171405
69,0.161995,0.157007,0.165443,0.156022,0.187031,0.172502
70,0.158702,0.154621,0.166396,0.155094,0.192193,0.172994
71,0.166419,0.160144,0.162719,0.155374,0.183637,0.171707
72,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
73,0.169497,0.162412,0.159711,0.155195,0.181182,0.172004
74,0.166576,0.16003,0.162686,0.155378,0.183269,0.17206
75,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
76,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
77,0.158884,0.154256,0.166853,0.155018,0.192609,0.17238
78,0.16304,0.158171,0.16491,0.155703,0.186002,0.172174
79,0.160797,0.156653,0.1658,0.155591,0.188801,0.172359
80,0.162148,0.15729,0.165098,0.156218,0.186543,0.172703
81,0.164652,0.159053,0.164121,0.155541,0.184713,0.171919
82,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
83,0.161889,0.157162,0.165252,0.156005,0.186901,0.17279
84,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
85,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
86,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
87,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
88,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
89,0.15858,0.154339,0.166503,0.154882,0.192945,0.17275
90,0.161805,0.157107,0.16554,0.15592,0.187252,0.172376
91,0.158758,0.15456,0.166568,0.155188,0.192144,0.172782
92,0.163296,0.158188,0.16463,0.155975,0.185311,0.1726
93,0.165063,0.158661,0.164106,0.155557,0.183893,0.172719
94,0.163535,0.158093,0.164601,0.155914,0.184895,0.172962
95,0.162251,0.157544,0.165255,0.15594,0.186561,0.17245
96,0.157944,0.154223,0.166496,0.154936,0.193848,0.172554
97,0.158688,0.154311,0.166666,0.154828,0.1928,0.172707
98,0.158862,0.154605,0.166487,0.154898,0.192182,0.172966
99,0.158573,0.154289,0.166486,0.155047,0.192871,0.172734
100,0.160579,0.156045,0.166022,0.155573,0.189163,0.172619
101,0.158472,0.154264,0.166503,0.154926,0.19306,0.172775
102,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
103,0.15879,0.154565,0.16632,0.155198,0.192205,0.172922
104,0.158642,0.154582,0.166566,0.155084,0.192492,0.172634
105,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
106,0.165031,0.158747,0.16409,0.155467,0.184292,0.172374
107,0.169592,0.162094,0.159819,0.155188,0.180841,0.172465
108,0.158844,0.154669,0.16648,0.155103,0.192037,0.172866
109,0.158826,0.154022,0.167243,0.154868,0.192799,0.172241
110,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
111,0.158922,0.154365,0.166403,0.154957,0.192241,0.173112
112,0.166775,0.159858,0.162829,0.155247,0.18256,0.172731
113,0.158492,0.154602,0.166561,0.155156,0.192545,0.172643
114,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
115,0.16667,0.159915,0.162621,0.155548,0.182644,0.172602
116,0.158646,0.154471,0.166468,0.155235,0.192411,0.172769
117,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
118,0.158564,0.154483,0.166551,0.155,0.192475,0.172928
119,0.158918,0.155096,0.166126,0.155697,0.191081,0.173083
120,0.159117,0.155139,0.166507,0.156142,0.190156,0.172939
121,0.162071,0.157049,0.165293,0.156117,0.186928,0.172543
122,0.169542,0.162269,0.159772,0.155125,0.181357,0.171935
123,0.15837,0.154372,0.166721,0.154873,0.192853,0.172812
124,0.158292,0.154345,0.166592,0.154882,0.192984,0.172905
125,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
126,0.161949,0.157029,0.165505,0.155984,0.187015,0.172518
127,0.160341,0.156206,0.165954,0.155609,0.189433,0.172458
128,0.166732,0.159922,0.162708,0.155302,0.182855,0.172481
129,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
130,0.169626,0.162255,0.159707,0.15527,0.181058,0.172084
131,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
132,0.161155,0.156581,0.165646,0.155815,0.188256,0.172546
133,0.172397,0.1714,0.159494,0.15002,0.171061,0.175627
134,0.158637,0.154605,0.166569,0.15481,0.192432,0.172946
135,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
136,0.167011,0.159844,0.162602,0.155384,0.182371,0.172787
137,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
138,0.15859,0.154419,0.166369,0.155316,0.192289,0.173017
139,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
140,0.158788,0.15444,0.166608,0.154948,0.192638,0.172578
141,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
142,0.162925,0.158279,0.164799,0.155767,0.186785,0.171446
143,0.161088,0.156519,0.165612,0.155781,0.188404,0.172596
144,0.161727,0.157164,0.165369,0.155869,0.187448,0.172422
145,0.161025,0.156452,0.165882,0.155848,0.188498,0.172294
146,0.163135,0.157987,0.164779,0.155996,0.18513,0.172973
147,0.158654,0.154172,0.166665,0.154681,0.193095,0.172733
148,0.166685,0.159998,0.162656,0.155344,0.18344,0.171877
149,0.158886,0.154955,0.166304,0.155645,0.1913,0.17291
150,0.174787,0.168613,0.15404,0.153424,0.176109,0.173027
151,0.166511,0.160096,0.162847,0.155179,0.18356,0.171807
152,0.166272,0.160313,0.162306,0.15568,0.183975,0.171454
