TAZ,commercial_commercial,commercial_resident,commercial_industrial,commercial_public,commercial_transport,commercial_other,resident_commercial,resident_resident,resident_industrial,resident_public,resident_transport,resident_other,industrial_commercial,industrial_resident,industrial_industrial,industrial_public,industrial_transport,industrial_other,public_commercial,public_resident,public_industrial,public_public,public_transport,public_other,transport_commercial,transport_resident,transport_industrial,transport_public,transport_transport,transport_other,other_commercial,other_resident,other_industrial,other_public,other_transport,other_other
0,5.0,1.0,2.0,2.0,3.0,1.0,1.0,8.0,1.0,3.0,1.0,1.0,2.0,0.0,13.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,0.0,0.0,3.0,0.0,1.0,2.0,12.0,2.0,4.0,1.0,1.0,6.0,0.0,5.0
1,4.0,6.0,3.0,1.0,2.0,2.0,0.0,5.0,1.0,3.0,0.0,4.0,0.0,2.0,9.0,2.0,2.0,3.0,0.0,1.0,3.0,7.0,1.0,1.0,2.0,1.0,2.0,3.0,8.0,2.0,1.0,5.0,2.0,1.0,1.0,10.0
2,9.0,4.0,5.0,0.0,1.0,4.0,1.0,11.0,1.0,2.0,1.0,2.0,3.0,1.0,9.0,1.0,1.0,2.0,0.0,4.0,4.0,10.0,2.0,4.0,4.0,0.0,2.0,2.0,6.0,4.0,1.0,2.0,0.0,2.0,4.0,10.0
3,7.0,3.0,1.0,1.0,4.0,1.0,1.0,5.0,3.0,1.0,2.0,3.0,4.0,2.0,8.0,1.0,1.0,2.0,4.0,3.0,2.0,9.0,2.0,7.0,4.0,0.0,4.0,1.0,5.0,2.0,3.0,2.0,4.0,0.0,1.0,4.0
4,8.0,1.0,2.0,1.0,0.0,5.0,3.0,4.0,0.0,3.0,3.0,2.0,2.0,2.0,8.0,3.0,4.0,4.0,1.0,1.0,3.0,7.0,2.0,1.0,0.0,3.0,2.0,2.0,11.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0
5,6.0,4.0,5.0,4.0,4.0,4.0,3.0,8.0,2.0,2.0,3.0,4.0,1.0,6.0,8.0,3.0,0.0,1.0,2.0,1.0,0.0,8.0,0.0,1.0,2.0,3.0,1.0,1.0,8.0,0.0,2.0,2.0,4.0,2.0,3.0,7.0
6,5.0,2.0,0.0,4.0,2.0,1.0,3.0,8.0,3.0,2.0,5.0,2.0,2.0,3.0,6.0,1.0,0.0,4.0,3.0,2.0,2.0,13.0,3.0,2.0,0.0,4.0,1.0,3.0,9.0,4.0,3.0,3.0,1.0,0.0,2.0,5.0
7,6.0,0.0,5.0,1.0,1.0,3.0,2.0,10.0,1.0,2.0,4.0,3.0,0.0,2.0,7.0,0.0,2.0,4.0,3.0,2.0,1.0,6.0,2.0,4.0,1.0,0.0,3.0,1.0,8.0,2.0,3.0,1.0,0.0,3.0,1.0,9.0
8,6.0,1.0,4.0,7.0,1.0,1.0,0.0,4.0,1.0,4.0,2.0,2.0,5.0,4.0,4.0,0.0,1.0,4.0,2.0,3.0,5.0,6.0,2.0,2.0,1.0,2.0,0.0,4.0,8.0,0.0,2.0,1.0,3.0,1.0,2.0,5.0
9,7.0,1.0,1.0,2.0,2.0,3.0,5.0,6.0,1.0,2.0,1.0,0.0,2.0,4.0,6.0,3.0,3.0,2.0,4.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0,3.0,0.0,1.0,1.0,4.0,0.0,8.0
10,9.0,4.0,2.0,4.0,1.0,0.0,3.0,8.0,0.0,1.0,1.0,2.0,3.0,3.0,9.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,10.0,1.0,2.0,0.0,4.0,1.0,1.0,6.0
11,7.0,5.0,1.0,1.0,4.0,2.0,3.0,5.0,2.0,2.0,1.0,1.0,5.0,0.0,9.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,6.0,1.0,1.0,2.0,2.0,2.0,13.0,2.0,1.0,0.0,0.0,1.0,0.0,11.0
