TAZID1,TAZID2,disEffect
0,1,0.958119251
0,2,0.721929478
0,4,0.823935844
0,1474,0.802552672
0,1477,0.655817548
0,1483,0.839532914
1,3,0.974528428
1,4,0.895361563
1,1483,0.916703632
2,4,0.768262921
2,6,0.687352762
2,11,0.70488897
2,1474,0.477264215
2,3172,0.309054789
2,3199,0.459147278
2,3221,0.494027024
3,4,0.882840125
3,5,0.977919482
3,8,0.901733922
3,1483,0.939989396
4,6,0.861397811
4,8,0.923186228
4,9,0.92808391
5,7,0.982721138
5,8,0.940019874
5,1483,0.903416174
5,1489,0.956717963
6,9,0.915435977
6,10,0.967246402
6,11,0.84096552
6,15,0.852656774
7,8,0.947011019
7,12,0.958851354
7,1489,0.962623991
7,1494,0.919569462
8,9,0.965788672
8,12,0.888683856
8,14,0.909772514
9,10,0.949721468
9,14,0.90236709
10,14,0.846341517
10,15,0.84998265
10,19,0.868215936
10,20,0.940528254
10,21,0.86890627
11,15,0.830823329
11,18,0.721462646
11,3199,0.626933206
11,3217,0.667745342
12,13,0.970313655
12,14,0.923954301
12,17,0.897650536
12,1494,0.931879199
13,16,0.988281063
13,17,0.918283275
13,1494,0.907316941
13,1500,0.923296542
14,17,0.963804257
14,19,0.908228007
15,18,0.795528519
15,21,0.958709643
15,22,0.922390794
16,17,0.896591896
16,27,0.951945549
16,32,0.953916409
16,1500,0.929113026
16,1503,0.923339774
17,19,0.905312629
17,23,0.95750041
17,32,0.880257767
17,35,0.882392891
18,22,0.851856687
18,24,0.881943618
18,26,0.858371991
18,3217,0.62918784
18,3262,0.828318749
19,20,0.963509606
19,23,0.91342998
19,25,0.937037107
19,30,0.938274264
20,21,0.948696657
20,25,0.92309583
21,22,0.916745979
21,25,0.898876895
21,31,0.927621446
22,26,0.961083998
22,28,0.944551731
22,29,0.9414229
22,31,0.908895995
23,30,0.895796061
23,35,0.94103847
23,36,0.954335973
24,26,0.900223059
24,33,0.890538783
24,44,0.887738904
24,3262,0.779639972
24,3270,0.775362401
25,30,0.986678436
25,31,0.941422819
25,45,0.878695346
26,28,0.989654124
26,33,0.948690538
27,32,0.972548332
27,37,0.935321489
27,1503,0.977618999
27,1506,0.942754078
28,29,0.97176104
28,33,0.967663015
28,34,0.979714086
29,31,0.962498606
29,34,0.956557016
29,40,0.945332045
29,41,0.947316719
30,36,0.900106033
30,39,0.93274647
30,43,0.931918098
30,45,0.903127477
31,41,0.904459034
31,45,0.843673742
31,48,0.884532896
32,35,0.957748486
32,37,0.934630424
33,34,0.984195251
33,40,0.933919593
33,44,0.938905953
33,55,0.781900604
34,40,0.977769179
35,36,0.933740532
35,37,0.907096383
35,42,0.936407995
36,39,0.972212676
36,42,0.91237241
36,50,0.878502076
37,42,0.889168704
37,1506,0.952486732
37,1516,0.968542914
38,45,0.948218822
38,47,0.900592316
38,48,0.958819798
38,53,0.948523688
38,59,0.902134186
38,61,0.87320181
39,43,0.980126505
39,50,0.902060512
39,52,0.883222172
40,41,0.986931224
40,47,0.926134983
40,55,0.788447492
41,47,0.924581628
41,48,0.973377239
42,46,0.981394322
42,49,0.897550514
42,50,0.906753361
42,1516,0.879241474
43,45,0.986718362
43,52,0.898985485
44,55,0.850154632
44,3270,0.719198361
44,3301,0.767622615
45,48,0.947150537
45,52,0.886346885
45,53,0.905087598
46,49,0.930885371
46,50,0.94556129
46,51,0.976936584
47,48,0.914482157
47,55,0.862405476
47,61,0.861805534
47,81,0.711233593
49,51,0.971262656
49,56,0.948691283
49,58,0.936389136
49,1516,0.929622414
49,1518,0.955187268
49,1530,0.930407468
50,51,0.902550912
50,52,0.962823801
50,57,0.883175631
50,60,0.89267002
50,62,0.877480142
51,57,0.942445508
51,58,0.957898648
52,53,0.978009877
52,60,0.937619363
53,54,0.919616091
53,59,0.912246987
53,60,0.916498526
53,63,0.926175625
54,59,0.979223844
54,61,0.954378776
54,63,0.985540782
54,67,0.924413763
54,75,0.883749247
55,81,0.678069104
55,3301,0.691728607
55,3313,0.737830389
56,58,0.964951695
56,64,0.941126504
56,65,0.917317218
56,1530,0.982158103
57,58,0.971670779
57,62,0.984482892
57,65,0.906883634
57,70,0.86882813
58,65,0.940660436
59,61,0.991781995
60,62,0.955621905
60,63,0.963016479
60,68,0.944663901
61,67,0.908031071
61,81,0.894603855
62,68,0.938868933
62,70,0.872508777
62,71,0.88427622
63,68,0.919249039
63,75,0.912561806
64,65,0.970223727
64,69,0.974389222
64,77,0.894040465
64,1530,0.912989408
64,1531,0.851747972
65,69,0.946369038
65,70,0.970223553
66,78,0.890549087
66,80,0.807574666
66,971,0.933054254
66,984,0.858788542
66,1525,0.863158897
66,1528,0.896033337
66,1529,0.796747465
67,73,0.955849183
67,75,0.912901819
67,81,0.908833987
67,88,0.768399677
68,71,0.914116061
68,74,0.962941855
68,75,0.955025415
69,70,0.917172183
69,76,0.976384543
69,77,0.964106594
70,71,0.988237063
70,72,0.969070896
70,76,0.91360518
71,72,0.960854788
71,74,0.977126181
71,83,0.884157961
72,76,0.954736053
72,79,0.973982695
72,83,0.887595311
73,75,0.980135364
73,83,0.799441081
73,88,0.881060832
74,75,0.919466147
74,83,0.917213712
75,83,0.832747707
76,77,0.973633672
76,79,0.951953129
76,84,0.894217649
77,80,0.78966789
77,82,0.954628267
77,84,0.902805658
77,1531,0.712321304
78,80,0.750013182
78,85,0.934790711
78,89,0.880186077
78,984,0.960192021
78,998,0.87930386
79,83,0.87745417
79,84,0.908874293
79,87,0.95936304
80,82,0.793115969
80,89,0.854206341
80,1529,0.839485613
80,1531,0.786549094
81,88,0.596946386
81,3313,0.636798634
81,3403,0.385288982
82,84,0.95714072
82,86,0.94693854
82,89,0.776610713
83,87,0.839714262
83,88,0.857621895
83,91,0.820862778
83,93,0.900199253
84,86,0.943469743
84,87,0.936005392
84,90,0.932847117
85,89,0.91405107
85,92,0.962651574
85,95,0.860113383
85,998,0.910868408
86,89,0.794494248
86,90,0.867163651
86,96,0.946454612
86,98,0.84148021
86,101,0.880158009
87,90,0.953311907
87,91,0.968791422
88,93,0.867300832
88,100,0.686446516
88,3403,0.492511617
89,95,0.841940225
89,96,0.78423324
90,91,0.956239411
90,98,0.951439692
90,109,0.875730827
91,93,0.881421084
91,100,0.84833133
91,105,0.801857503
91,109,0.837271858
92,94,0.959918901
92,95,0.906642684
92,99,0.920536224
92,998,0.901395023
92,1005,0.845890642
93,100,0.920077216
94,95,0.915400968
94,99,0.963966544
94,103,0.928337949
94,106,0.967269531
